,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,Vicenza Calcio,28.0,24.7,3.0,-,-,8,34,5,47,1996
1,Milan AC,40.0,24.7,10.0,-,-,11,34,-2,43,1996
2,Juventus FC,31.0,24.2,7.0,-,-,1,34,27,65,1996
3,AC Reggiana,41.0,25.6,9.0,-,-,18,34,-39,19,1996
4,AS Roma,32.0,25.6,9.0,-,-,12,34,-1,41,1996
5,Atalanta BC,35.0,24.1,4.0,-,-,10,34,-2,44,1996
6,SSC Napoli,29.0,24.5,6.0,-,-,13,34,-7,41,1996
7,FC Internazionale,30.0,25.5,8.0,-,-,3,34,16,59,1996
8,AC Perugia,36.0,24.9,6.0,-,-,16,34,-14,37,1996
9,AC Parma,33.0,24.6,9.0,-,-,2,34,15,63,1996
10,Bologna FC 1909,31.0,25.7,4.0,-,-,7,34,6,49,1996
11,Hellas Verona,35.0,24.4,3.0,-,-,17,34,-26,27,1996
12,UC Sampdoria,26.0,25.7,5.0,-,-,6,34,14,53,1996
13,SS Lazio,28.0,24.8,4.0,-,-,4,34,17,55,1996
14,Cagliari Calcio,29.0,25.4,7.0,-,-,14,34,-10,37,1996
15,Udinese Calcio,31.0,25.7,9.0,-,-,5,34,12,54,1996
16,Piacenza FC,28.0,25.1,0.0,-,-,15,34,-16,37,1996
